tracer,z,observable,value,sigma,tip,tip_pull,lcdm,lcdm_pull
BGS,0.295,DV_over_rd,7.942,0.075,8.01218191221024,0.9357588294698616,7.8240704200627,-1.572394399164002
LRG1,0.51,DM_over_rd,13.588,0.167,13.349194827261586,-1.4299710942419943,13.144658256448247,-2.654740979351808
LRG1,0.51,DH_over_rd,21.863,0.425,21.71069113486599,-0.3583738003153184,22.456049638088604,1.3954109131496584
LRG2,0.706,DM_over_rd,17.351,0.177,17.364579525190383,0.07672048130160246,17.309607453802336,-0.2338561932071367
LRG2,0.706,DH_over_rd,19.455,0.33,19.356063474511895,-0.29980765299425133,20.079698007530638,1.8930242652443625
LRG3_ELG1,0.934,DM_over_rd,21.576,0.152,21.52255731624321,-0.3515966036631057,21.60071022728127,0.16256728474518592
LRG3_ELG1,0.934,DH_over_rd,17.641,0.193,17.20514574131429,-2.2583122211694735,17.619481906215192,-0.11149271391091227
ELG2,1.321,DM_over_rd,27.601,0.318,27.62386311603327,0.07189659129959455,27.732078813674313,0.4121975272777175
ELG2,1.321,DH_over_rd,14.176,0.221,14.470864586377914,1.3342288976376189,14.22414904428133,0.2178689786485487
QSO,1.484,DM_over_rd,30.512,0.76,29.903336584925494,-0.8008729145717187,29.953634779982885,-0.7346910789698893
QSO,1.484,DH_over_rd,12.817,0.516,13.50691412415199,1.3370428762635465,13.057703085698678,0.4664788482532524
LYA,2.33,DM_over_rd,38.988,0.531,39.24672530270258,0.48724162467529103,39.01857627776239,0.057582443996972835
LYA,2.33,DH_over_rd,8.632,0.101,8.705760270135514,0.7302997043120198,8.796625119854319,1.6299516817259343
